190
name r g b
IMG_0878 219.0 440.0 275.0
IMG_0503 696.0 1387.0 959.0
IMG_0787 717.0 1609.0 1276.0
IMG_0382 1180.0 2504.0 1857.0
8D5U5608 1554.0 2697.0 2342.0
IMG_0610 335.0 462.0 177.0
IMG_0286 242.0 514.0 373.0
IMG_0300 264.0 575.0 432.0
8D5U5530 1193.0 1751.0 1174.0
IMG_0460 119.0 216.0 124.0
IMG_0436 218.0 408.0 248.0
IMG_0575 314.0 547.0 273.0
IMG_0365 1377.0 2690.0 1833.0
IMG_0625 502.0 673.0 231.0
8D5U5581 376.0 585.0 404.0
IMG_0522 304.0 658.0 486.0
IMG_0561 348.0 431.0 138.0
IMG_0434 473.0 969.0 662.0
IMG_0615 383.0 634.0 325.0
IMG_0627 101.0 201.0 120.0
IMG_0551 190.0 301.0 150.0
8D5U5577 653.0 1130.0 970.0
8D5U5620 956.0 788.0 226.0
IMG_0435 331.0 635.0 403.0
IMG_0283 555.0 1195.5 904.0
IMG_0379 326.0 701.0 519.0
IMG_0762 95.0 207.0 158.0
IMG_0426 259.0 544.5 397.0
IMG_0473 489.0 967.0 655.0
8D5U5541 1144.0 2101.0 2465.0
IMG_0500 644.0 1407.0 1065.0
IMG_0402 216.0 458.0 336.0
8D5U5554 1529.0 1794.0 914.0
IMG_0784 981.0 2165.0 1703.0
IMG_0293 279.0 571.0 387.0
IMG_0576 293.0 400.0 163.0
IMG_0568 85.0 144.0 71.0
8D5U5599 1003.0 892.0 335.0
8D5U5564 1545.0 2692.0 2359.0
IMG_0363 546.0 1077.0 727.0
IMG_0332 60.0 126.0 90.0
IMG_0329 117.0 248.0 184.0
IMG_0528 81.0 183.0 145.0
IMG_0594 241.0 304.0 96.0
IMG_0384 267.0 585.0 431.5
IMG_0844 242.0 537.0 403.0
IMG_0687 166.0 328.0 195.0
IMG_0814 416.0 944.0 752.0
IMG_0599 148.0 188.0 58.0
IMG_0845 109.0 252.0 205.0
IMG_0759 314.0 663.0 493.0
IMG_0766 440.0 979.0 765.0
8D5U5529 372.5 569.0 400.0
IMG_0777 88.0 168.0 112.0
IMG_0321 141.0 298.0 220.0
IMG_0459 409.0 806.0 544.0
IMG_0416 241.0 483.0 318.0
IMG_0774 192.0 416.0 321.0
IMG_0765 443.0 980.0 765.0
IMG_0352 710.0 1469.0 1055.0
IMG_0314 641.0 1349.0 974.0
IMG_0290 141.0 298.0 218.0
IMG_0846 165.0 373.0 298.0
IMG_0750 567.0 1263.0 992.0
IMG_0387 1323.0 2854.0 2149.0
8D5U5619 452.0 373.5 130.0
IMG_0560 1477.0 1836.0 583.0
8D5U5606 644.0 899.0 543.0
8D5U5579 1223.0 2017.0 1591.0
IMG_0603 271.0 379.0 139.0
IMG_0621 506.0 644.0 197.0
IMG_0342 1363.0 2903.0 2189.0
IMG_0867 285.0 617.0 464.0
IMG_0410 301.0 526.0 320.0
8D5U5571 744.0 566.0 156.0
8D5U5556 341.0 393.0 169.0
IMG_0885 467.0 591.0 192.0
IMG_0587 216.0 269.0 82.0
IMG_0517 521.0 1149.0 868.0
IMG_0782 262.0 579.0 454.5
IMG_0761 208.0 458.0 357.0
8D5U5572 775.0 1163.0 800.0
IMG_0674 690.0 1497.0 1138.0
IMG_0822 272.0 616.0 495.0
IMG_0588 440.0 559.0 177.0
IMG_0450 381.0 859.0 678.0
IMG_0661 213.0 427.0 264.0
IMG_0891 283.0 631.0 415.0
IMG_0466 694.0 1413.0 915.0
IMG_0808 78.0 174.0 133.0
8D5U5596 263.0 247.0 110.0
8D5U5533 588.0 943.0 675.0
8D5U5587 232.5 368.0 280.0
IMG_0345 376.0 817.0 589.0
IMG_0872 23.0 47.0 27.0
IMG_0461 183.0 293.0 143.0
IMG_0792 357.0 791.0 616.0
IMG_0305 431.0 908.0 646.0
IMG_0671 525.0 1094.0 709.0
8D5U5598 2464.0 2363.5 1015.0
IMG_0477 388.0 804.0 570.0
8D5U5600 471.0 423.0 154.0
IMG_0303 418.0 878.0 631.0
IMG_0811 272.0 614.0 486.0
IMG_0485 210.0 465.0 314.0
IMG_0492 303.0 655.0 486.0
IMG_0381 489.0 1051.0 775.0
IMG_0767 766.0 1692.0 1321.0
8D5U5525 1664.0 2315.0 1464.0
IMG_0488 305.0 577.0 370.0
IMG_0455 676.0 1505.0 1164.0
8D5U5583 694.0 1458.0 1503.0
8D5U5569 420.0 625.0 462.0
IMG_0618 479.0 613.0 191.0
