188
name r g b
IMG_0770 133.0 296.0 232.0
IMG_0298 135.0 265.0 168.0
IMG_0609 263.0 544.0 335.0
IMG_0812 492.0 1108.0 878.0
8D5U5582 302.0 515.0 404.0
8D5U5534 1075.0 1303.0 779.0
8D5U5601 556.5 697.0 394.0
IMG_0361 169.0 317.0 177.0
IMG_0620 411.0 508.0 156.0
IMG_0865 331.0 658.0 399.0
IMG_0794 339.0 745.0 572.0
IMG_0325 430.0 944.0 620.0
8D5U5555 1077.0 1349.0 764.0
IMG_0501 535.0 1169.0 882.0
IMG_0301 176.5 377.0 280.0
IMG_0406 676.0 1405.0 1013.0
IMG_0444 292.0 565.0 376.0
IMG_0780 91.0 201.0 157.0
IMG_0412 546.0 1141.0 821.0
IMG_0572 244.0 446.0 237.0
IMG_0504 717.0 1365.0 902.0
IMG_0496 286.0 629.0 469.0
IMG_0637 129.0 231.0 117.0
IMG_0428 168.0 359.0 265.0
IMG_0854 98.0 122.0 32.0
IMG_0483 992.0 2309.0 1868.0
IMG_0484 1012.0 2491.0 2176.0
8D5U5565 1653.0 2840.0 2426.0
IMG_0786 272.0 607.0 476.0
IMG_0400 738.0 1453.0 987.0
IMG_0411 239.0 508.0 374.0
IMG_0463 134.0 195.0 76.0
IMG_0688 122.0 239.0 140.0
8D5U5584 371.0 797.0 853.0
IMG_0468 513.0 985.0 650.0
IMG_0574 401.0 673.0 315.0
8D5U5545 284.0 333.0 143.0
IMG_0350 300.0 655.0 495.0
IMG_0539 145.0 241.0 122.0
8D5U5568 310.0 324.5 154.0
IMG_0442 396.0 864.0 654.0
IMG_0826 435.0 992.0 795.0
IMG_0328 241.5 511.0 381.0
8D5U5549 738.0 939.0 531.0
IMG_0502 373.0 816.0 617.0
IMG_0595 225.0 283.0 89.0
IMG_0829 594.0 1358.0 1091.0
IMG_0744 620.0 1393.0 1072.0
IMG_0289 490.0 1046.0 753.0
IMG_0833 165.0 379.0 304.0
8D5U5531 1352.0 1862.0 1046.0
IMG_0776 213.0 460.0 353.0
IMG_0543 415.0 529.0 168.0
IMG_0818 163.0 367.0 295.0
IMG_0843 262.0 602.0 491.0
IMG_0495 1122.0 2445.0 1828.0
IMG_0605 349.0 784.0 533.0
IMG_0563 110.0 237.0 160.0
8D5U5603 885.0 1074.0 583.0
IMG_0533 730.0 1389.0 899.0
8D5U5553 448.0 554.0 305.0
IMG_0370 297.0 637.0 472.0
8D5U5528 711.0 871.0 401.0
IMG_0407 458.0 950.0 684.0
IMG_0768 95.0 187.0 108.0
8D5U5557 372.0 438.0 191.0
IMG_0453 549.0 1320.0 1099.0
IMG_0291 131.0 278.0 202.0
IMG_0807 425.0 964.0 765.0
IMG_0404 364.0 769.0 561.0
IMG_0565 235.0 331.0 104.0
IMG_0838 809.0 1064.0 327.0
IMG_0864 1041.0 1321.0 514.0
IMG_0498 484.0 1061.0 809.0
IMG_0446 562.0 1219.0 921.0
IMG_0540 319.0 461.0 190.0
IMG_0893 351.0 450.0 132.0
IMG_0556 955.0 1207.0 380.0
IMG_0447 405.0 797.0 537.0
IMG_0790 118.0 247.0 177.0
IMG_0837 719.0 1091.0 325.0
IMG_0549 360.0 462.0 148.0
IMG_0413 396.0 785.0 522.0
IMG_0452 235.0 551.0 454.0
IMG_0487 430.0 944.0 704.0
IMG_0419 519.5 999.0 661.0
IMG_0515 360.0 810.0 604.0
IMG_0566 68.0 96.0 35.0
IMG_0339 563.0 1204.0 891.0
IMG_0600 119.0 157.0 51.0
IMG_0284 475.0 1029.0 771.0
IMG_0895 333.0 424.0 138.0
IMG_0832 281.0 639.0 513.0
IMG_0747 1239.0 2728.0 2134.0
IMG_0580 195.0 341.0 180.0
8D5U5574 902.0 1456.0 1164.0
IMG_0423 246.0 520.0 377.0
IMG_0388 581.0 1295.0 1017.0
IMG_0470 856.0 1658.5 1101.0
IMG_0340 327.0 711.0 524.0
IMG_0614 141.0 193.0 73.0
IMG_0552 84.0 127.0 56.0
IMG_0805 288.0 649.0 515.0
8D5U5535 226.0 342.0 223.0
IMG_0771 623.0 1163.0 740.0
IMG_0287 357.0 736.0 518.0
IMG_0796 611.0 1337.0 1025.0
IMG_0686 404.0 843.0 540.0
8D5U5618 1233.0 1085.0 407.0
IMG_0380 241.0 519.0 383.0
IMG_0364 265.0 542.0 377.0
IMG_0593 1276.0 1666.0 577.0
IMG_0425 336.0 718.0 534.0
IMG_0623 227.0 291.0 88.0
